Material Composition,A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,X site,Number of elements,Empty,Empty,Empty,Empty,Empty,energy_above_hull (meV/atom),formation_energy (eV/atom)
Ba4Pr4Nb6Co2O24,Ba,Pr,,Nb,Co,,O,5,,,,,,251.360287,-2.190301975
Ba4Pr4Nb6Fe2O24,Ba,Pr,,Nb,Fe,,O,5,,,,,,211.4607162,-2.230201546
Ba4Pr4Nb6Ni2O24,Ba,Pr,,Nb,Ni,,O,5,,,,,,321.9895748,-2.122467444
Ba4Pr4Nb7Co1O24,Ba,Pr,,Nb,Co,,O,5,,,,,,207.5157135,-2.248945942
Ba4Pr4Nb7Fe1O24,Ba,Pr,,Nb,Fe,,O,5,,,,,,202.6645534,-2.252596728
Ba4Pr4Ni8O24,Ba,Pr,,Ni,,,O,4,,,,,,214.3641691,-1.077502796
Ba4Pr4Sc8O24,Ba,Pr,,Sc,,,O,4,,,,,,94.30190586,-2.718243626
Ba4Pr4Ta4Co4O24,Ba,Pr,,Ta,Co,,O,5,,,,,,39.9617942,-2.296131733
Ba4Pr4Ta4Fe4O24,Ba,Pr,,Ta,Fe,,O,5,,,,,,31.5202492,-2.372322625
Ba4Pr4Ta4Ni4O24,Ba,Pr,,Ta,Ni,,O,5,,,,,,139.3450813,-2.134894921
Ba4Pr4Ta6Co2O24,Ba,Pr,,Ta,Co,,O,5,,,,,,294.4157031,-2.290383014
Ba4Pr4Ta6Fe2O24,Ba,Pr,,Ta,Fe,,O,5,,,,,,281.1024426,-2.300012335
Ba4Pr4Ta6Ni2O24,Ba,Pr,,Ta,Ni,,O,5,,,,,,367.6244316,-2.222287483
Ba4Pr4Ta7Co1O24,Ba,Pr,,Ta,Co,,O,5,,,,,,280.8764698,-2.309389655
Ba4Pr4Ta7Fe1O24,Ba,Pr,,Ta,Fe,,O,5,,,,,,286.014919,-2.29652069
Ba4Pr4Ta7Ni1O24,Ba,Pr,,Ta,Ni,,O,5,,,,,,299.6924848,-2.291491514
Ba4Pr4Ti8O24,Ba,Pr,,Ti,,,O,4,,,,,,11.5904985,-2.738592833
Ba4Pr4V8O24,Ba,Pr,,V,,,O,4,,,,,,57.14438148,-2.189203706
Ba4Pr4Zr4Co4O24,Ba,Pr,,Zr,Co,,O,5,,,,,,77.8684422,-2.252837764
Ba4Pr4Zr4Fe4O24,Ba,Pr,,Zr,Fe,,O,5,,,,,,126.7773445,-2.350017906
Ba4Pr4Zr4Ni4O24,Ba,Pr,,Zr,Ni,,O,5,,,,,,199.6845686,-2.030911452
Ba4Pr4Zr6Co2O24,Ba,Pr,,Zr,Co,,O,5,,,,,,47.36934588,-2.653410311
Ba4Pr4Zr6Fe2O24,Ba,Pr,,Zr,Fe,,O,5,,,,,,202.2839484,-2.532370382
Ba4Pr4Zr6Ni2O24,Ba,Pr,,Zr,Ni,,O,5,,,,,,128.4488656,-2.53275103
Ba4Pr4Zr7Co1O24,Ba,Pr,,Zr,Co,,O,5,,,,,,165.7784332,-2.696801584
Ba4Pr4Zr7Fe1O24,Ba,Pr,,Zr,Fe,,O,5,,,,,,175.5693978,-2.68701062
Ba4Pr4Zr7Ni1O24,Ba,Pr,,Zr,Ni,,O,5,,,,,,211.4768238,-2.651103194
Ba4Sm4Fe8O24,Ba,Sm,,Fe,,,O,4,,,,,,157.7155851,-1.658645778
Ba4Sm4Mn8O24,Ba,Sm,,Mn,,,O,4,,,,,,107.9750668,-1.848396578
Ba4Sn4Fe8O24,Ba,Sn,,Fe,,,O,4,,,,,,468.0346095,-0.988624603
Ba4Sn4Hf1Zr6Fe1O24,Ba,Sn,,Zr,Fe,Hf,O,6,,,,,,85.23364294,-2.325448895
Ba4Sn4Zr7Fe1O24,Ba,Sn,,Zr,Fe,,O,5,,,,,,137.1260589,-2.255023519
Ba4Sr4Al1Fe7O24,Ba,Sr,,Al,Fe,,O,5,,,,,,127.825789,-1.525814779
Ba4Sr4Al2Fe6O24,Ba,Sr,,Al,Fe,,O,5,,,,,,149.8500945,-1.610721839
Ba4Sr4Al4Fe4O24,Ba,Sr,,Al,Fe,,O,5,,,,,,198.1066642,-1.775521959
Ba4Sr4Al6Fe2O24,Ba,Sr,,Al,Fe,,O,5,,,,,,206.1582362,-1.976239579
Ba4Sr4Al8O24,Ba,Sr,,Al,,,O,4,,,,,,212.3025211,-2.174054949
Ba4Sr4Co4Ni4O24,Ba,Sr,,Co,Ni,,O,5,,,,,,223.624761,-0.978963373
Ba4Sr4Co6Ni2O24,Ba,Sr,,Co,Ni,,O,5,,,,,,182.220981,-1.078175154
Ba4Sr4Co7Ni1O24,Ba,Sr,,Co,Ni,,O,5,,,,,,148.8738869,-1.136549795
Ba4Sr4Co8O24,Ba,Sr,,Co,,,O,4,,,,,,122.3160428,-1.188135186
Ba4Sr4Cu8O24,Ba,Sr,,Cu,,,O,4,,,,,,288.4865628,-0.840356079
Ba4Sr4Fe1Co7O24,Ba,Sr,,Fe,Co,,O,5,,,,,,120.4035296,-1.223204721
Ba4Sr4Fe1Ni7O24,Ba,Sr,,Fe,Ni,,O,5,,,,,,242.9654649,-0.861297737
Ba4Sr4Fe2Co6O24,Ba,Sr,,Fe,Co,,O,5,,,,,,123.7540164,-1.253011256
Ba4Sr4Fe2Cu6O24,Ba,Sr,,Fe,Cu,,O,5,,,,,,253.560446,-0.983566989
Ba4Sr4Fe2Ni6O24,Ba,Sr,,Fe,Ni,,O,5,,,,,,228.1696994,-0.945850413
Ba4Sr4Fe4Co4O24,Ba,Sr,,Fe,Co,,O,5,,,,,,126.79849,-1.316280827
Ba4Sr4Fe4Cu4O24,Ba,Sr,,Fe,Cu,,O,5,,,,,,218.9463975,-1.123257899
Ba4Sr4Fe4Ni4O24,Ba,Sr,,Fe,Ni,,O,5,,,,,,184.9014486,-1.120253015
Ba4Sr4Fe6Co2O24,Ba,Sr,,Fe,Co,,O,5,,,,,,117.2491681,-1.385657648
Ba4Sr4Fe6Cu2O24,Ba,Sr,,Fe,Cu,,O,5,,,,,,151.7974405,-1.292659309
Ba4Sr4Fe6Ni2O24,Ba,Sr,,Fe,Ni,,O,5,,,,,,137.583441,-1.290163617
Ba4Sr4Fe7Co1O24,Ba,Sr,,Fe,Co,,O,5,,,,,,117.2470591,-1.411828183
Ba4Sr4Fe7Cu1O24,Ba,Sr,,Fe,Cu,,O,5,,,,,,119.778837,-1.375804139
Ba4Sr4Fe7Ni1O24,Ba,Sr,,Fe,Ni,,O,5,,,,,,113.0921079,-1.374539043
Ba4Sr4Fe8O24,Ba,Sr,,Fe,,,O,4,,,,,,92.54373354,-1.454165469
Ba4Sr4Ga1Fe7O24,Ba,Sr,,Ga,Fe,,O,5,,,,,,118.3026576,-1.465192461
Ba4Sr4Ga2Fe6O24,Ba,Sr,,Ga,Fe,,O,5,,,,,,145.1978317,-1.475083202
Ba4Sr4Ga4Fe4O24,Ba,Sr,,Ga,Fe,,O,5,,,,,,202.6896798,-1.491163186
Ba4Sr4Ga6Fe2O24,Ba,Sr,,Ga,Fe,,O,5,,,,,,251.7717436,-1.51144167
Ba4Sr4Ga8O24,Ba,Sr,,Ga,,,O,4,,,,,,289.7129778,-1.532185904
Ba4Sr4Mn1Co7O24,Ba,Sr,,Mn,Co,,O,5,,,,,,124.8425724,-1.238353946
Ba4Sr4Mn1Fe7O24,Ba,Sr,,Mn,Fe,,O,5,,,,,,97.91858002,-1.474952444
Ba4Sr4Mn1Ni7O24,Ba,Sr,,Mn,Ni,,O,5,,,,,,251.7034831,-0.875967962
Ba4Sr4Mn2Co6O24,Ba,Sr,,Mn,Co,,O,5,,,,,,134.5996021,-1.281342207
Ba4Sr4Mn2Fe6O24,Ba,Sr,,Mn,Fe,,O,5,,,,,,104.3729715,-1.494398919
Ba4Sr4Mn4Co4O24,Ba,Sr,,Mn,Co,,O,5,,,,,,138.0912258,-1.378549977
Ba4Sr4Mn4Fe4O24,Ba,Sr,,Mn,Fe,,O,5,,,,,,104.2442075,-1.537434869
Ba4Sr4Mn4Ni4O24,Ba,Sr,,Mn,Ni,,O,5,,,,,,199.5780955,-1.200445415
Ba4Sr4Mn6Co2O24,Ba,Sr,,Mn,Co,,O,5,,,,,,165.1097297,-1.450745498
Ba4Sr4Mn6Fe2O24,Ba,Sr,,Mn,Fe,,O,5,,,,,,126.8181702,-1.548883319
Ba4Sr4Mn6Ni2O24,Ba,Sr,,Mn,Ni,,O,5,,,,,,180.0351679,-1.385764967
Ba4Sr4Mn7Co1O24,Ba,Sr,,Mn,Co,,O,5,,,,,,162.7842126,-1.498302759
Ba4Sr4Mn7Fe1O24,Ba,Sr,,Mn,Fe,,O,5,,,,,,133.8833674,-1.556924544
Ba4Sr4Mn7Ni1O24,Ba,Sr,,Mn,Ni,,O,5,,,,,,160.4348067,-1.475624618
Ba4Sr4Mn8O24,Ba,Sr,,Mn,,,O,4,,,,,,137.791901,-1.567360519
Ba4Sr4Ni4Co4O24,Ba,Sr,,Ni,Co,,O,5,,,,,,227.717761,-0.974870373
Ba4Sr4Ni6Co2O24,Ba,Sr,,Ni,Co,,O,5,,,,,,283.0424293,-0.858388842
Ba4Sr4Ni7Co1O24,Ba,Sr,,Ni,Co,,O,5,,,,,,272.8715799,-0.815097201
Ba4Sr4Ni8O24,Ba,Sr,,Ni,,,O,4,,,,,,296.6302304,-0.737876061
Ba4Sr4V8O24,Ba,Sr,,V,,,O,4,,,,,,66.96310632,-2.075277721
Ba4Sr4Zn1Fe7O24,Ba,Sr,,Fe,Zn,,O,5,,,,,,119.7749833,-1.411024259
Ba4Sr4Zn2Fe6O24,Ba,Sr,,Fe,Zn,,O,5,,,,,,150.4727082,-1.36429005
Ba4Sr4Zn4Fe4O24,Ba,Sr,,Fe,Zn,,O,5,,,,,,219.4021335,-1.263161132
Ba4Sr4Zn6Fe2O24,Ba,Sr,,Fe,Zn,,O,5,,,,,,294.893175,-1.152772713
Ba4Sr4Zn8O24,Ba,Sr,,Zn,,,O,4,,,,,,377.5020086,-1.025792545
Ba4Y4Co8O24,Ba,Y,,Co,,,O,4,,,,,,136.2529899,-1.467524611
Ba4Y4Cr8O24,Ba,Y,,Cr,,,O,4,,,,,,160.8491605,-1.958316172
Ba4Y4Fe8O24,Ba,Y,,Fe,,,O,4,,,,,,120.0264524,-1.723061144
Ba4Y4Ga8O24,Ba,Y,,Ga,,,O,4,,,,,,267.8544255,-1.845240579
Ba4Y4Mn8O24,Ba,Y,,Mn,,,O,4,,,,,,124.6308404,-1.853725944
Ba4Y4Ni8O24,Ba,Y,,Ni,,,O,4,,,,,,190.8708784,-1.160741736
Ba4Y4Sc8O24,Ba,Y,,Sc,,,O,4,,,,,,126.6161637,-2.741753566
Ba4Y4Ti8O24,Ba,Y,,Ti,,,O,4,,,,,,70.04323975,-2.735192273
Ba4Y4V8O24,Ba,Y,,V,,,O,4,,,,,,71.75494749,-2.238669896
Ba5Bi2La1Fe8O24,Ba,Bi,La,Fe,,,O,5,,,,,,127.3781892,-1.358503661
Ba5Cd2La1Fe8O24,Ba,Cd,La,Fe,,,O,5,,,,,,166.1874289,-1.260805286
Ba5Sn2La1Fe8O24,Ba,Sn,La,Fe,,,O,5,,,,,,276.0287208,-1.29794037
