Material Composition,A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,X site,Number of elements,Empty,Empty,Empty,Empty,Empty,energy_above_hull (meV/atom),formation_energy (eV/atom)
Ca4Ba4Fe1Ni7O24,Ca,Ba,,Fe,Ni,,O,5,,,,,,323.8226369,-0.826353903
Ca4Ba4Fe2Co6O24,Ca,Ba,,Fe,Co,,O,5,,,,,,186.0265304,-1.216240172
Ca4Ba4Fe2Ni6O24,Ca,Ba,,Fe,Ni,,O,5,,,,,,309.8566214,-0.910076829
Ca4Ba4Mn1Co7O24,Ca,Ba,,Mn,Co,,O,5,,,,,,189.9522081,-1.197508112
Ca4Ba4Mn1Ni7O24,Ca,Ba,,Mn,Ni,,O,5,,,,,,340.4376551,-0.833147128
Ca4Ba4Mn2Co6O24,Ca,Ba,,Mn,Co,,O,5,,,,,,189.8246296,-1.247586123
Ca4Ba4Mn2Fe6O24,Ca,Ba,,Mn,Fe,,O,5,,,,,,956.8319557,-0.666962335
Ca4Ba4Mn2Ni6O24,Ca,Ba,,Mn,Ni,,O,5,,,,,,318.3999077,-0.948350029
Ca4Ba4Mn4Co4O24,Ca,Ba,,Mn,Co,,O,5,,,,,,189.1762542,-1.346933393
Ca4Ba4Mn4Ni4O24,Ca,Ba,,Mn,Ni,,O,5,,,,,,274.7566306,-1.161242831
Ca4Ba4Mn6Co2O24,Ca,Ba,,Mn,Co,,O,5,,,,,,191.8366738,-1.438880414
Ca4Ba4Mn6Fe2O24,Ca,Ba,,Mn,Fe,,O,5,,,,,,178.5861675,-1.516887735
Ca4Ba4Mn6Ni2O24,Ca,Ba,,Mn,Ni,,O,5,,,,,,231.128112,-1.349533883
Ca4Ba4Mn7Co1O24,Ca,Ba,,Mn,Co,,O,5,,,,,,196.4091336,-1.481611675
Ca4Ba4Mn7Fe1O24,Ca,Ba,,Mn,Fe,,O,5,,,,,,190.0752554,-1.52032396
Ca4Ba4Mn7Ni1O24,Ca,Ba,,Mn,Ni,,O,5,,,,,,210.3357277,-1.442657534
Ca4Ba4Ni4Co4O24,Ca,Ba,,Ni,Co,,O,5,,,,,,294.3104131,-0.943089289
Ca4Ba4Ni6Co2O24,Ca,Ba,,Ni,Co,,O,5,,,,,,357.1453513,-0.830199258
Ca4Ba4Ni7Co1O24,Ca,Ba,,Ni,Co,,O,5,,,,,,351.8175019,-0.782064617
Ca4La4Co8O24,Ca,La,,Co,,,O,4,,,,,,75.15595576,-1.546844915
Ca4La4Cr8O24,Ca,La,,Cr,,,O,4,,,,,,0.203972667,-2.150521976
Ca4La4Fe8O24,Ca,La,,Fe,,,O,4,,,,,,0.593437233,-1.894836948
Ca4La4Ga8O24,Ca,La,,Ga,,,O,4,,,,,,139.3700039,-1.991198883
Ca4La4Mn8O24,Ca,La,,Mn,,,O,4,,,,,,38.14616569,-1.963347749
Ca4La4Ni8O24,Ca,La,,Ni,,,O,4,,,,,,232.2092086,-1.18957129
Ca4La4Sc8O24,Ca,La,,Sc,,,O,4,,,,,,87.36071311,-2.83926262
Ca4La4Ti8O24,Ca,La,,Ti,,,O,4,,,,,,0,-2.845021828
Ca4La4V8O24,Ca,La,,V,,,O,4,,,,,,21.88033825,-2.30622995
Ca4Pr4Co8O24,Ca,Pr,,Co,,,O,4,,,,,,73.13416251,-1.51336395
Ca4Pr4Cr8O24,Ca,Pr,,Cr,,,O,4,,,,,,51.42310236,-2.050551511
Ca4Pr4Fe8O24,Ca,Pr,,Fe,,,O,4,,,,,,72.01080223,-1.790089983
Ca4Pr4Ga8O24,Ca,Pr,,Ga,,,O,4,,,,,,204.0999935,-1.885898668
Ca4Pr4Mn8O24,Ca,Pr,,Mn,,,O,4,,,,,,37.03306019,-1.931198533
Ca4Pr4Ni8O24,Ca,Pr,,Ni,,,O,4,,,,,,224.4021653,-1.161875575
Ca4Pr4Sc8O24,Ca,Pr,,Sc,,,O,4,,,,,,141.3737259,-2.749226155
Ca4Pr4Ti8O24,Ca,Pr,,Ti,,,O,4,,,,,,21.819592,-2.793286362
Ca4Pr4V8O24,Ca,Pr,,V,,,O,4,,,,,,21.12324531,-2.256039985
Ca4Sr4Co4Ni4O24,Ca,Sr,,Co,Ni,,O,5,,,,,,244.8003451,-1.006614402
Ca4Sr4Co6Ni2O24,Ca,Sr,,Co,Ni,,O,5,,,,,,213.3656569,-1.088104183
Ca4Sr4Co7Ni1O24,Ca,Sr,,Co,Ni,,O,5,,,,,,179.6593128,-1.146838074
Ca4Sr4Fe1Co7O24,Ca,Sr,,Fe,Co,,O,5,,,,,,141.4534555,-1.2432285
Ca4Sr4Fe1Ni7O24,Ca,Sr,,Fe,Ni,,O,5,,,,,,313.927543,-0.884089516
Ca4Sr4Fe2Co6O24,Ca,Sr,,Fe,Co,,O,5,,,,,,142.8261923,-1.275012785
Ca4Sr4Fe2Ni6O24,Ca,Sr,,Fe,Ni,,O,5,,,,,,295.5820426,-0.968002192
Ca4Sr4Mn1Co7O24,Ca,Sr,,Mn,Co,,O,5,,,,,,144.1544983,-1.260115725
Ca4Sr4Mn1Ni7O24,Ca,Sr,,Mn,Ni,,O,5,,,,,,347.2959006,-0.871175741
Ca4Sr4Mn2Co6O24,Ca,Sr,,Mn,Co,,O,5,,,,,,150.042028,-1.306973486
Ca4Sr4Mn4Co4O24,Ca,Sr,,Mn,Co,,O,5,,,,,,138.5759318,-1.414601756
Ca4Sr4Mn4Ni4O24,Ca,Sr,,Mn,Ni,,O,5,,,,,,238.5350582,-1.214532444
Ca4Sr4Mn6Co2O24,Ca,Sr,,Mn,Co,,O,5,,,,,,139.2313513,-1.508553777
Ca4Sr4Mn6Fe2O24,Ca,Sr,,Mn,Fe,,O,5,,,,,,129.155595,-1.583386348
Ca4Sr4Mn6Ni2O24,Ca,Sr,,Mn,Ni,,O,5,,,,,,184.3307895,-1.413399246
Ca4Sr4Mn7Co1O24,Ca,Sr,,Mn,Co,,O,5,,,,,,151.8983111,-1.543190538
Ca4Sr4Mn7Fe1O24,Ca,Sr,,Mn,Fe,,O,5,,,,,,132.392433,-1.595074823
Ca4Sr4Mn7Ni1O24,Ca,Sr,,Mn,Ni,,O,5,,,,,,158.4134052,-1.511647897
Ca4Sr4Ni4Co4O24,Ca,Sr,,Ni,Co,,O,5,,,,,,247.9095951,-1.003505152
Ca4Sr4Ni6Co2O24,Ca,Sr,,Ni,Co,,O,5,,,,,,312.1156251,-0.881491121
Ca4Sr4Ni7Co1O24,Ca,Sr,,Ni,Co,,O,5,,,,,,324.9450843,-0.83808323
Ca4Y4Co8O24,Ca,Y,,Co,,,O,4,,,,,,93.79066576,-1.55106064
Ca4Y4Cr8O24,Ca,Y,,Cr,,,O,4,,,,,,63.96485561,-2.096362951
Ca4Y4Fe8O24,Ca,Y,,Fe,,,O,4,,,,,,74.81814061,-1.829060423
Ca4Y4Ga8O24,Ca,Y,,Ga,,,O,4,,,,,,207.7571831,-1.930453608
Ca4Y4Mn8O24,Ca,Y,,Mn,,,O,4,,,,,,39.11088786,-1.970934723
Ca4Y4Ni8O24,Ca,Y,,Ni,,,O,4,,,,,,166.3476686,-1.278283265
Ca4Y4Sc8O24,Ca,Y,,Sc,,,O,4,,,,,,142.3238844,-2.793383345
Ca4Y4Ti8O24,Ca,Y,,Ti,,,O,4,,,,,,0,-2.838364302
Ca4Y4V8O24,Ca,Y,,V,,,O,4,,,,,,0,-2.360952675
Ca8Co4Ni4O24,Ca,,,Co,Ni,,O,4,,,,,,286.026589,-0.992446818
Ca8Co6Ni2O24,Ca,,,Co,Ni,,O,4,,,,,,234.6606508,-1.093867849
Ca8Co7Ni1O24,Ca,,,Co,Ni,,O,4,,,,,,207.9048067,-1.14565124
Ca8Co8O24,Ca,,,Co,,,O,3,,,,,,188.5147126,-1.190068881
Ca8Cr8O24,Ca,,,Cr,,,O,3,,,,,,0,-1.943950692
Ca8Fe1Co7O24,Ca,,,Fe,Co,,O,4,,,,,,189.0930845,-1.221868916
Ca8Fe1Ni7O24,Ca,,,Fe,Ni,,O,4,,,,,,367.1383674,-0.869899182
Ca8Fe2Co6O24,Ca,,,Fe,Co,,O,4,,,,,,193.2294563,-1.250110951
Ca8Fe2Ni6O24,Ca,,,Fe,Ni,,O,4,,,,,,342.0400194,-0.953671858
Ca8Fe4Co4O24,Ca,,,Fe,Co,,O,4,,,,,,183.1512,-1.324946022
Ca8Fe4Ni4O24,Ca,,,Fe,Ni,,O,4,,,,,,291.0990733,-1.12196146
Ca8Fe6Co2O24,Ca,,,Fe,Co,,O,4,,,,,,185.6616938,-1.387192343
Ca8Fe6Ni2O24,Ca,,,Fe,Ni,,O,4,,,,,,237.5833788,-1.290289062
Ca8Fe7Co1O24,Ca,,,Fe,Co,,O,4,,,,,,184.5913156,-1.420641128
Ca8Fe7Ni1O24,Ca,,,Fe,Ni,,O,4,,,,,,208.0356581,-1.374705988
Ca8Fe8O24,Ca,,,Fe,,,O,3,,,,,,183.3506875,-1.454260164
Ca8Mn1Co7O24,Ca,,,Mn,Co,,O,4,,,,,,132.8719224,-1.293015391
Ca8Mn1Fe7O24,Ca,,,Mn,Fe,,O,4,,,,,,185.0512754,-1.467484889
Ca8Mn1Ni7O24,Ca,,,Mn,Ni,,O,4,,,,,,366.5030811,-0.884191407
Ca8Mn2Co6O24,Ca,,,Mn,Co,,O,4,,,,,,179.6541322,-1.293536902
Ca8Mn2Fe6O24,Ca,,,Mn,Fe,,O,4,,,,,,171.4903633,-1.495971114
Ca8Mn2Ni6O24,Ca,,,Mn,Ni,,O,4,,,,,,336.2246968,-0.986801058
Ca8Mn4Co4O24,Ca,,,Mn,Co,,O,4,,,,,,168.8673017,-1.398931172
Ca8Mn4Fe4O24,Ca,,,Mn,Fe,,O,4,,,,,,156.0270392,-1.541285064
Ca8Mn4Ni4O24,Ca,,,Mn,Ni,,O,4,,,,,,276.0069281,-1.19168136
Ca8Mn6Co2O24,Ca,,,Mn,Co,,O,4,,,,,,165.1182213,-1.497287693
Ca8Mn6Fe2O24,Ca,,,Mn,Fe,,O,4,,,,,,158.037965,-1.569124764
Ca8Mn6Ni2O24,Ca,,,Mn,Ni,,O,4,,,,,,213.3146595,-1.399036162
Ca8Mn7Co1O24,Ca,,,Mn,Co,,O,4,,,,,,183.8286811,-1.525880954
Ca8Mn7Fe1O24,Ca,,,Mn,Fe,,O,4,,,,,,157.9728029,-1.584115239
Ca8Mn7Ni1O24,Ca,,,Mn,Ni,,O,4,,,,,,186.4002752,-1.498281813
Ca8Mn8O24,Ca,,,Mn,,,O,3,,,,,,164.6603909,-1.592352964
Ca8Ni4Co4O24,Ca,,,Ni,Co,,O,4,,,,,,287.661839,-0.990811568
Ca8Ni6Co2O24,Ca,,,Ni,Co,,O,4,,,,,,361.5797772,-0.866838537
Ca8Ni7Co1O24,Ca,,,Ni,Co,,O,4,,,,,,378.4533713,-0.824937396
Ca8Ni8O24,Ca,,,Ni,,,O,3,,,,,,397.2399654,-0.781123256
Ca8Ti8O24,Ca,,,Ti,,,O,3,,,,,,12.44807725,-2.774066793
Ca8V8O24,Ca,,,V,,,O,3,,,,,,0,-2.260366166
Cd4Pr4Ni8O24,Cd,Pr,,Ni,,,O,4,,,,,,298.3688313,-0.699772875
Dy2Y6Co8O24,Dy,Y,,Co,,,O,4,,,,,,49.21928699,-1.867470116
Dy2Y6Cr8O24,Dy,Y,,Cr,,,O,4,,,,,,21.35392388,-2.397843427
Dy2Y6Fe8O24,Dy,Y,,Fe,,,O,4,,,,,,27.12929863,-2.132614399
Dy2Y6Ga8O24,Dy,Y,,Ga,,,O,4,,,,,,75.6574945,-2.319476834
Dy2Y6Mn8O24,Dy,Y,,Mn,,,O,4,,,,,,45.49957094,-2.224063699
Dy2Y6Ni8O24,Dy,Y,,Ni,,,O,4,,,,,,86.1157898,-1.630353241
Dy2Y6Sc8O24,Dy,Y,,Sc,,,O,4,,,,,,34.86837846,-3.169718821
Dy2Y6Ti8O24,Dy,Y,,Ti,,,O,4,,,,,,45.40761163,-2.849604028
Dy2Y6V8O24,Dy,Y,,V,,,O,4,,,,,,0,-2.527249401
Dy4Y4Co8O24,Dy,Y,,Co,,,O,4,,,,,,56.33881581,-1.865791083
Dy4Y4Cr8O24,Dy,Y,,Cr,,,O,4,,,,,,28.48129225,-2.397640144
Dy4Y4Fe8O24,Dy,Y,,Fe,,,O,4,,,,,,34.10036925,-2.132303616
Dy4Y4Ga8O24,Dy,Y,,Ga,,,O,4,,,,,,81.726855,-2.319328051
Dy4Y4Mn8O24,Dy,Y,,Mn,,,O,4,,,,,,52.14150703,-2.223907166
Dy4Y4Ni8O24,Dy,Y,,Ni,,,O,4,,,,,,84.26131862,-1.637648208
Dy4Y4Sc8O24,Dy,Y,,Sc,,,O,4,,,,,,41.13790728,-3.168889788
Dy4Y4Ti8O24,Dy,Y,,Ti,,,O,4,,,,,,51.90442725,-2.849106995
Dy4Y4V8O24,Dy,Y,,V,,,O,4,,,,,,0,-2.534124868
Dy8Fe8O24,Dy,,,Fe,,,O,3,,,,,,390.4260105,-1.78929855
Gd2Y6Co8O24,Gd,Y,,Co,,,O,4,,,,,,0,-2.266184887
Gd2Y6Cr8O24,Gd,Y,,Cr,,,O,4,,,,,,0,-2.809001198
Gd2Y6Fe8O24,Gd,Y,,Fe,,,O,4,,,,,,0,-2.53210592
Gd2Y6Ga8O24,Gd,Y,,Ga,,,O,4,,,,,,72.65012738,-2.306993605
Gd2Y6Mn8O24,Gd,Y,,Mn,,,O,4,,,,,,0,-2.582486721
Gd2Y6Ni8O24,Gd,Y,,Ni,,,O,4,,,,,,0,-2.197870512
Gd2Y6Sc8O24,Gd,Y,,Sc,,,O,4,,,,,,28.07241153,-3.160938842
Gd2Y6Ti8O24,Gd,Y,,Ti,,,O,4,,,,,,38.77854738,-2.84270105
Gd2Y6V8O24,Gd,Y,,V,,,O,4,,,,,,0,-2.877731422
Gd4Y4Co8O24,Gd,Y,,Co,,,O,4,,,,,,0,-2.252124126
Gd4Y4Cr8O24,Gd,Y,,Cr,,,O,4,,,,,,0,-2.798594687
Gd4Y4Fe8O24,Gd,Y,,Fe,,,O,4,,,,,,0,-2.536215409
Gd4Y4Ga8O24,Gd,Y,,Ga,,,O,4,,,,,,75.14562075,-2.294928094
Gd4Y4Mn8O24,Gd,Y,,Mn,,,O,4,,,,,,0,-2.567355709
Gd4Y4Ni8O24,Gd,Y,,Ni,,,O,4,,,,,,0,-2.185725751
Gd4Y4Sc8O24,Gd,Y,,Sc,,,O,4,,,,,,27.25161269,-3.151754081
Gd4Y4Ti8O24,Gd,Y,,Ti,,,O,4,,,,,,35.37179875,-2.838575539
Gd4Y4V8O24,Gd,Y,,V,,,O,4,,,,,,0,-2.875721661
Gd8Fe8O24,Gd,,,Fe,,,O,3,,,,,,293.7439885,-1.831649887
Ho8Fe8O24,Ho,,,Fe,,,O,3,,,,,,417.7519315,-1.766937334
La1Pr4Mn8Zn3O24,La,Pr,Zn,Mn,,,O,5,,,,,,144.7467208,-1.651424923
La1Pr4Zn3Co8O24,La,Pr,Zn,Co,,,O,5,,,,,,172.4202031,-1.25701959
La1Pr4Zn3Fe8O24,La,Pr,Zn,Fe,,,O,5,,,,,,171.6797176,-1.526367873
La1Pr4Zn3Ni8O24,La,Pr,Zn,Ni,,,O,5,,,,,,0,-1.621819465
La1Y4Mn8Zn3O24,La,Y,Zn,Mn,,,O,5,,,,,,121.2044382,-1.712258863
La1Y4Zn3Co8O24,La,Y,Zn,Co,,,O,5,,,,,,168.4649563,-1.31932803
La1Y4Zn3Fe8O24,La,Y,Zn,Fe,,,O,5,,,,,,158.3674095,-1.579668063
La1Y4Zn3Ni8O24,La,Y,Zn,Ni,,,O,5,,,,,,291.955558,-0.984678655
La2Sr6Cr2Fe6O24,La,Sr,,Cr,Fe,,O,5,,,,,,89.81673775,-1.722994502
La4Ba4Co4Ni4O24,La,Ba,,Co,Ni,,O,5,,,,,,192.2846563,-1.288532324
La4Ba4Co6Ni2O24,La,Ba,,Co,Ni,,O,5,,,,,,150.6724681,-1.380199605
La4Ba4Co7Ni1O24,La,Ba,,Co,Ni,,O,5,,,,,,124.314124,-1.431585496
La4Ba4Fe1Co7O24,La,Ba,,Fe,Co,,O,5,,,,,,114.4077159,-1.502498422
La4Ba4Fe1Ni7O24,La,Ba,,Fe,Ni,,O,5,,,,,,206.3641636,-1.190063937
La4Ba4Fe2Co6O24,La,Ba,,Fe,Co,,O,5,,,,,,114.5071519,-1.538377957
La4Ba4Fe2Ni6O24,La,Ba,,Fe,Ni,,O,5,,,,,,189.6483646,-1.273702363
La4Ba4Mn1Co7O24,La,Ba,,Mn,Co,,O,5,,,,,,111.9204708,-1.523179647
La4Ba4Mn1Ni7O24,La,Ba,,Mn,Ni,,O,5,,,,,,213.4936817,-1.206342662
La4Ba4Mn2Co6O24,La,Ba,,Mn,Co,,O,5,,,,,,114.4981617,-1.574774907
La4Ba4Mn2Fe6O24,La,Ba,,Mn,Fe,,O,5,,,,,,845.3373003,-1.03493737
La4Ba4Mn2Ni6O24,La,Ba,,Mn,Ni,,O,5,,,,,,201.3214232,-1.310735314
La4Ba4Mn4Co4O24,La,Ba,,Mn,Co,,O,5,,,,,,103.7567545,-1.685417178
La4Ba4Mn4Ni4O24,La,Ba,,Mn,Ni,,O,5,,,,,,154.4196238,-1.524997116
La4Ba4Mn6Co2O24,La,Ba,,Mn,Co,,O,5,,,,,,123.2466292,-1.764626199
La4Ba4Mn6Fe2O24,La,Ba,,Mn,Fe,,O,5,,,,,,83.0462436,-1.86159702
La4Ba4Mn6Ni2O24,La,Ba,,Mn,Ni,,O,5,,,,,,118.2485598,-1.704381668
La4Ba4Mn7Co1O24,La,Ba,,Mn,Co,,O,5,,,,,,98.1125625,-1.828745709
La4Ba4Mn7Fe1O24,La,Ba,,Mn,Fe,,O,5,,,,,,87.04599469,-1.868197495
La4Ba4Mn7Ni1O24,La,Ba,,Mn,Ni,,O,5,,,,,,103.1651528,-1.791071819
La4Ba4Ni4Co4O24,La,Ba,,Ni,Co,,O,5,,,,,,177.3461563,-1.303470824
La4Ba4Ni6Co2O24,La,Ba,,Ni,Co,,O,5,,,,,,237.0623445,-1.193699543
La4Ba4Ni7Co1O24,La,Ba,,Ni,Co,,O,5,,,,,,236.3380285,-1.143795652
La4Ca4Co4Ni4O24,La,Ca,,Co,Ni,,O,5,,,,,,177.3178322,-1.344572853
La4Ca4Co6Ni2O24,La,Ca,,Co,Ni,,O,5,,,,,,151.356144,-1.420589634
La4Ca4Co7Ni1O24,La,Ca,,Co,Ni,,O,5,,,,,,83.54954986,-1.513423775
La4Ca4Fe1Co7O24,La,Ca,,Fe,Co,,O,5,,,,,,101.8878918,-1.556091951
La4Ca4Fe1Ni7O24,La,Ca,,Fe,Ni,,O,5,,,,,,252.0010505,-1.230785966
La4Ca4Fe2Co6O24,La,Ca,,Fe,Co,,O,5,,,,,,111.0263278,-1.582932486
La4Ca4Fe2Ni6O24,La,Ca,,Fe,Ni,,O,5,,,,,,230.9176424,-1.312875892
La4Ca4Mn1Co7O24,La,Ca,,Mn,Co,,O,5,,,,,,70.43789669,-1.605735926
La4Ca4Mn1Ni7O24,La,Ca,,Mn,Ni,,O,5,,,,,,247.4742467,-1.247799941
La4Ca4Mn2Co6O24,La,Ca,,Mn,Co,,O,5,,,,,,110.2090876,-1.620137686
La4Ca4Mn2Ni6O24,La,Ca,,Mn,Ni,,O,5,,,,,,218.1372847,-1.350630593
La4Ca4Mn4Co4O24,La,Ca,,Mn,Co,,O,5,,,,,,91.28475717,-1.733669457
La4Ca4Mn4Ni4O24,La,Ca,,Mn,Ni,,O,5,,,,,,154.7076109,-1.561047645
La4Ca4Mn6Co2O24,La,Ca,,Mn,Co,,O,5,,,,,,100.1174267,-1.819444228
La4Ca4Mn6Fe2O24,La,Ca,,Mn,Fe,,O,5,,,,,,94.83760214,-1.894934549
La4Ca4Mn6Ni2O24,La,Ca,,Mn,Ni,,O,5,,,,,,116.2787181,-1.745998947
La4Ca4Mn7Co1O24,La,Ca,,Mn,Co,,O,5,,,,,,96.92679621,-1.863600988
La4Ca4Mn7Fe1O24,La,Ca,,Mn,Fe,,O,5,,,,,,94.43350892,-1.901199524
La4Ca4Mn7Ni1O24,La,Ca,,Mn,Ni,,O,5,,,,,,102.7945838,-1.831814348
La4Ca4Ni4Co4O24,La,Ca,,Ni,Co,,O,5,,,,,,179.9993322,-1.341891353
La4Ca4Ni6Co2O24,La,Ca,,Ni,Co,,O,5,,,,,,238.5222704,-1.233313322
La4Ca4Ni7Co1O24,La,Ca,,Ni,Co,,O,5,,,,,,253.0198645,-1.193788181
La4Dy4Co8O24,La,Dy,,Co,,,O,4,,,,,,70.83577191,-1.828248858
La4Dy4Cr8O24,La,Dy,,Cr,,,O,4,,,,,,0,-2.438387669
La4Dy4Fe8O24,La,Dy,,Fe,,,O,4,,,,,,0,-2.184403641
La4Dy4Ga8O24,La,Dy,,Ga,,,O,4,,,,,,32.07826851,-2.360957076
La4Dy4Mn8O24,La,Dy,,Mn,,,O,4,,,,,,60.52191244,-2.203013692
La4Dy4Ni8O24,La,Dy,,Ni,,,O,4,,,,,,181.9107747,-1.516953483
La4Dy4Sc8O24,La,Dy,,Sc,,,O,4,,,,,,0,-3.207795563
La4Dy4Ti8O24,La,Dy,,Ti,,,O,4,,,,,,60.68027663,-2.839428771
La4Dy4V8O24,La,Dy,,V,,,O,4,,,,,,45.433214,-2.465111643
La4Gd4Co8O24,La,Gd,,Co,,,O,4,,,,,,0,-2.194891402
La4Gd4Cr8O24,La,Gd,,Cr,,,O,4,,,,,,0,-2.775980463
La4Gd4Fe8O24,La,Gd,,Fe,,,O,4,,,,,,0,-2.530596935
La4Gd4Ga8O24,La,Gd,,Ga,,,O,4,,,,,,89.23565059,-2.27288562
La4Gd4Mn8O24,La,Gd,,Mn,,,O,4,,,,,,0,-2.557479985
La4Gd4Sc8O24,La,Gd,,Sc,,,O,4,,,,,,29.653255,-3.141747607
La4Gd4Ti8O24,La,Gd,,Ti,,,O,4,,,,,,34.14939813,-2.838895564
La4Gd4V8O24,La,Gd,,V,,,O,4,,,,,,0,-2.872251187
La4Ho4Co8O24,La,Ho,,Co,,,O,4,,,,,,71.22675703,-1.833328
La4Ho4Cr8O24,La,Ho,,Cr,,,O,4,,,,,,0,-2.439570061
La4Ho4Fe8O24,La,Ho,,Fe,,,O,4,,,,,,0,-2.185513033
La4Ho4Ga8O24,La,Ho,,Ga,,,O,4,,,,,,33.56831065,-2.362066468
La4Ho4Mn8O24,La,Ho,,Mn,,,O,4,,,,,,65.03127144,-2.203564334
La4Ho4Ni8O24,La,Ho,,Ni,,,O,4,,,,,,189.6445098,-1.514689875
La4Ho4Sc8O24,La,Ho,,Sc,,,O,4,,,,,,0.992490625,-3.208500205
La4Ho4Ti8O24,La,Ho,,Ti,,,O,4,,,,,,62.11081063,-2.840208663
La4Ho4V8O24,La,Ho,,V,,,O,4,,,,,,47.26926175,-2.465478035
La4Nd4Co8O24,La,Nd,,Co,,,O,4,,,,,,41.17090553,-1.800257839
La4Nd4Cr8O24,La,Nd,,Cr,,,O,4,,,,,,0,-2.4060189
La4Nd4Fe8O24,La,Nd,,Fe,,,O,4,,,,,,0,-2.153237122
La4Nd4Ga8O24,La,Nd,,Ga,,,O,4,,,,,,15.44290641,-2.330161307
La4Nd4Mn8O24,La,Nd,,Mn,,,O,4,,,,,,40.83543394,-2.173960922
La4Nd4Ni8O24,La,Nd,,Ni,,,O,4,,,,,,133.5596583,-1.507648714
La4Nd4Sc8O24,La,Nd,,Sc,,,O,4,,,,,,0,-3.180075044
La4Nd4Ti8O24,La,Nd,,Ti,,,O,4,,,,,,40.79731663,-2.817440251
La4Sm4Co8O24,La,Sm,,Co,,,O,4,,,,,,59.05468284,-1.802386558
La4Sm4Cr8O24,La,Sm,,Cr,,,O,4,,,,,,0,-2.418493869
La4Sm4Fe8O24,La,Sm,,Fe,,,O,4,,,,,,0,-2.165137591
La4Sm4Ga8O24,La,Sm,,Ga,,,O,4,,,,,,22.3715509,-2.341972526
La4Sm4Mn8O24,La,Sm,,Mn,,,O,4,,,,,,44.85051669,-2.183729142
La4Sm4Ni8O24,La,Sm,,Ni,,,O,4,,,,,,150.5081857,-1.510712683
La4Sm4Sc8O24,La,Sm,,Sc,,,O,4,,,,,,0,-3.190757013
La4Sm4Ti8O24,La,Sm,,Ti,,,O,4,,,,,,50.8263675,-2.822939221
La4Sm4V8O24,La,Sm,,V,,,O,4,,,,,,13.39023875,-2.446015593
La4Sr4Co4Ni4O24,La,Sr,,Co,Ni,,O,5,,,,,,136.4430882,-1.358388937
La4Sr4Co6Ni2O24,La,Sr,,Co,Ni,,O,5,,,,,,97.37215001,-1.447514968
La4Sr4Co7Ni1O24,La,Sr,,Co,Ni,,O,5,,,,,,79.32480591,-1.490589859
La4Sr4Fe1Co7O24,La,Sr,,Fe,Co,,O,5,,,,,,71.04489782,-1.559876285
La4Sr4Fe1Ni7O24,La,Sr,,Fe,Ni,,O,5,,,,,,191.4045361,-1.2500298
La4Sr4Fe2Co6O24,La,Sr,,Fe,Co,,O,5,,,,,,78.90633383,-1.58799382
La4Sr4Fe2Ni6O24,La,Sr,,Fe,Ni,,O,5,,,,,,173.7465357,-1.333254976
La4Sr4Mn1Co7O24,La,Sr,,Mn,Co,,O,5,,,,,,68.40090273,-1.58071426
La4Sr4Mn1Ni7O24,La,Sr,,Mn,Ni,,O,5,,,,,,204.5548938,-1.257334025
La4Sr4Mn2Co6O24,La,Sr,,Mn,Co,,O,5,,,,,,55.94984366,-1.64733827
La4Sr4Mn4Co4O24,La,Sr,,Mn,Co,,O,5,,,,,,54.63840294,-1.754140291
La4Sr4Mn4Ni4O24,La,Sr,,Mn,Ni,,O,5,,,,,,117.7922768,-1.582569979
La4Sr4Mn6Co2O24,La,Sr,,Mn,Co,,O,5,,,,,,59.52415623,-1.842328812
La4Sr4Mn6Fe2O24,La,Sr,,Mn,Fe,,O,5,,,,,,45.29321414,-1.919326133
La4Sr4Mn6Ni2O24,La,Sr,,Mn,Ni,,O,5,,,,,,83.15072959,-1.766397781
La4Sr4Mn7Co1O24,La,Sr,,Mn,Co,,O,5,,,,,,60.28509071,-1.887070322
La4Sr4Mn7Fe1O24,La,Sr,,Mn,Fe,,O,5,,,,,,53.12824467,-1.925610358
La4Sr4Mn7Ni1O24,La,Sr,,Mn,Ni,,O,5,,,,,,69.20850033,-1.852758682
La4Sr4Ni4Co4O24,La,Sr,,Ni,Co,,O,5,,,,,,132.2115882,-1.362620437
La4Sr4Ni6Co2O24,La,Sr,,Ni,Co,,O,5,,,,,,178.5198683,-1.258504156
La4Sr4Ni7Co1O24,La,Sr,,Ni,Co,,O,5,,,,,,193.5178274,-1.212927765
La5Mn8Zn3O24,La,Zn,,Mn,,,O,4,,,,,,145.9364657,-1.678776639
La5Sr3Fe6Co2O24,La,Sr,,Fe,Co,,O,5,,,,,,47.08625046,-1.828526824
La5Zn3Co8O24,La,Zn,,Co,,,O,4,,,,,,181.6597463,-1.283282806
La5Zn3Fe8O24,La,Zn,,Fe,,,O,4,,,,,,176.1933526,-1.555183839
La5Zn3Ni8O24,La,Zn,,Ni,,,O,4,,,,,,304.216098,-0.949567681
La6Dy2Co8O24,La,Dy,,Co,,,O,4,,,,,,59.55211041,-1.822699279
La6Dy2Fe8O24,La,Dy,,Fe,,,O,4,,,,,,0,-2.177125562
La6Dy2Ga8O24,La,Dy,,Ga,,,O,4,,,,,,25.36959074,-2.352538497
La6Dy2Mn8O24,La,Dy,,Mn,,,O,4,,,,,,53.84255407,-2.196951113
La6Dy2Ni8O24,La,Dy,,Ni,,,O,4,,,,,,157.3743632,-1.524656654
